,area_type,availability,location,size_bhk,total_sqft,bath,price
1634,Super built-up  Area,Ready To Move,Cooke Town,2,1310.0,2.0,111.0
1635,Super built-up  Area,Ready To Move,Cooke Town,4,3900.0,5.0,415.0
1636,Super built-up  Area,Ready To Move,Cooke Town,3,2560.0,4.0,310.0
1637,Plot  Area,Ready To Move,Cooke Town,3,2600.0,3.0,375.0
1638,Super built-up  Area,Ready To Move,Cooke Town,2,1100.0,2.0,90.0
1639,Super built-up  Area,Ready To Move,Cooke Town,3,2300.0,3.0,250.0
1640,Super built-up  Area,Ready To Move,Cox Town,3,1975.0,3.0,150.0
1641,Super built-up  Area,Ready To Move,Cox Town,3,1650.0,3.0,100.0
1642,Super built-up  Area,Ready To Move,Cox Town,3,1730.0,3.0,140.0
1643,Super built-up  Area,Ready To Move,Cox Town,3,1600.0,3.0,150.0
1644,Super built-up  Area,Ready To Move,Cox Town,2,1250.0,2.0,95.0
1645,Built-up  Area,Ready To Move,Cox Town,2,1280.0,2.0,120.0
1646,Built-up  Area,Ready To Move,Cox Town,2,1073.0,2.0,72.0
1647,Super built-up  Area,Ready To Move,Cox Town,2,1000.0,2.0,58.0
1648,Super built-up  Area,Ready To Move,Cox Town,2,1200.0,2.0,140.0
1649,Super built-up  Area,Ready To Move,Cunningham Road,4,5270.0,4.0,1250.0
1650,Super built-up  Area,Ready To Move,Cunningham Road,3,3875.0,3.0,864.0
1651,Super built-up  Area,Ready To Move,Cunningham Road,3,3875.0,3.0,800.0
1652,Super built-up  Area,At available date,Cunningham Road,3,3815.0,3.0,763.0
1653,Super built-up  Area,Ready To Move,Cunningham Road,3,2880.0,3.0,501.0
1654,Super built-up  Area,At available date,Cunningham Road,3,3489.0,3.0,662.0
1655,Super built-up  Area,Ready To Move,Cunningham Road,3,4170.0,3.0,800.0
1657,Super built-up  Area,Ready To Move,Cunningham Road,3,2700.0,3.0,501.0
1658,Plot  Area,Ready To Move,Cunningham Road,4,7500.0,6.0,1800.0
1659,Super built-up  Area,Ready To Move,Cunningham Road,3,2880.0,3.0,560.0
1660,Super built-up  Area,At available date,Dairy Circle,3,1855.0,3.0,225.0
1661,Super built-up  Area,At available date,Dairy Circle,3,1980.0,3.0,224.0
1662,Super built-up  Area,Ready To Move,Dairy Circle,4,3730.0,6.0,450.0
1663,Super built-up  Area,Ready To Move,Dairy Circle,4,3754.0,6.0,430.0
1664,Super built-up  Area,Ready To Move,Dairy Circle,4,3754.0,6.0,480.0
1665,Super built-up  Area,Ready To Move,Dairy Circle,2,1541.0,2.0,181.0
1666,Super built-up  Area,Ready To Move,Dairy Circle,3,2735.0,4.0,340.0
1667,Super built-up  Area,Ready To Move,Dairy Circle,4,3730.0,6.0,430.0
1668,Super built-up  Area,At available date,Dasanapura,2,708.0,2.0,37.0
1669,Super built-up  Area,Ready To Move,Dasanapura,2,708.0,1.0,40.0
1670,Built-up  Area,Ready To Move,Dasanapura,2,965.0,2.0,42.5
1672,Super built-up  Area,Ready To Move,Dasanapura,2,814.0,2.0,42.0
1673,Built-up  Area,Ready To Move,Dasanapura,2,1163.0,2.0,65.0
1674,Super built-up  Area,At available date,Dasanapura,3,1286.0,2.0,68.0
1675,Super built-up  Area,Ready To Move,Dasanapura,2,708.0,2.0,31.15
1676,Super built-up  Area,Ready To Move,Dasanapura,1,708.0,1.0,41.0
1677,Super built-up  Area,Ready To Move,Dasanapura,2,814.0,2.0,43.7
1678,Super built-up  Area,Ready To Move,Dasarahalli,2,1295.0,2.0,65.0
1680,Built-up  Area,Ready To Move,Dasarahalli,2,1150.0,2.0,70.0
1681,Super built-up  Area,Ready To Move,Dasarahalli,3,2100.0,3.0,120.0
1682,Super built-up  Area,Ready To Move,Dasarahalli,2,1220.0,2.0,52.0
1683,Super built-up  Area,Ready To Move,Dasarahalli,2,1375.0,2.0,60.0
1684,Super built-up  Area,At available date,Dasarahalli,2,1333.0,2.0,78.56
1685,Super built-up  Area,Ready To Move,Dasarahalli,2,1220.0,2.0,62.0
1686,Super built-up  Area,At available date,Devanahalli,2,1260.0,2.0,66.78
1687,Super built-up  Area,At available date,Devanahalli,3,1282.0,2.0,68.52
1688,Super built-up  Area,At available date,Devanahalli,2,1360.0,2.0,65.0
1689,Super built-up  Area,At available date,Devanahalli,2,1408.0,2.0,85.0
1690,Super built-up  Area,Ready To Move,Devanahalli,2,1010.0,2.0,51.0
1691,Super built-up  Area,Ready To Move,Devanahalli,2,1080.0,2.0,53.35
1692,Plot  Area,Ready To Move,Devanahalli,5,2400.0,5.0,100.0
1695,Super built-up  Area,At available date,Devanahalli,2,1174.0,2.0,59.0
1696,Super built-up  Area,At available date,Devanahalli,1,658.0,1.0,34.0
1697,Super built-up  Area,At available date,Devanahalli,1,658.0,1.0,26.91
1698,Super built-up  Area,At available date,Devanahalli,1,698.5,1.0,28.57
1699,Super built-up  Area,Ready To Move,Devanahalli,2,1080.0,2.0,52.0
1700,Super built-up  Area,At available date,Devanahalli,3,1700.0,3.0,88.2
1701,Super built-up  Area,At available date,Devanahalli,3,1498.0,3.0,79.15
1702,Super built-up  Area,At available date,Devanahalli,3,1466.0,3.0,77.59
1703,Super built-up  Area,Ready To Move,Devanahalli,1,775.0,1.0,39.0
1704,Super built-up  Area,At available date,Devanahalli,1,1020.0,2.0,49.87
1705,Super built-up  Area,Ready To Move,Devanahalli,2,1045.0,2.0,48.0
1706,Super built-up  Area,Ready To Move,Devanahalli,3,1550.0,3.0,85.0
1708,Super built-up  Area,At available date,Devanahalli,2,1340.0,2.0,65.0
1709,Built-up  Area,At available date,Devanahalli,3,2125.0,3.0,107.0
1710,Super built-up  Area,At available date,Devanahalli,2,1230.0,2.0,56.45
1711,Super built-up  Area,At available date,Devanahalli,2,1360.0,2.0,62.425
1712,Super built-up  Area,At available date,Devanahalli,1,658.0,1.0,26.91
1714,Built-up  Area,Ready To Move,Devanahalli,2,1010.0,2.0,58.0
1718,Super built-up  Area,Ready To Move,Devarachikkanahalli,2,1250.0,2.0,40.0
1719,Plot  Area,Ready To Move,Devarachikkanahalli,2,1200.0,2.0,83.0
1720,Super built-up  Area,Ready To Move,Devarachikkanahalli,2,1170.0,2.0,40.0
1721,Built-up  Area,Ready To Move,Devarachikkanahalli,1,615.0,1.0,24.0
1722,Super built-up  Area,Ready To Move,Devarachikkanahalli,2,1230.0,2.0,58.0
1723,Super built-up  Area,Ready To Move,Devarachikkanahalli,3,1425.0,2.0,65.0
1724,Super built-up  Area,Ready To Move,Devarachikkanahalli,2,947.0,2.0,43.0
1725,Super built-up  Area,Ready To Move,Devarachikkanahalli,2,1130.0,2.0,36.0
1726,Super built-up  Area,Ready To Move,Devarachikkanahalli,3,1417.0,2.0,76.0
1727,Super built-up  Area,Ready To Move,Devarachikkanahalli,2,1230.0,2.0,58.0
1728,Super built-up  Area,Ready To Move,Devarachikkanahalli,3,1705.0,3.0,75.0
1729,Built-up  Area,Ready To Move,Devarachikkanahalli,2,1116.0,2.0,47.0
1730,Super built-up  Area,Ready To Move,Devarachikkanahalli,2,991.0,2.0,40.0
1732,Built-up  Area,Ready To Move,Dodda Nekkundi,2,1260.0,2.0,55.0
1733,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,850.0,2.0,28.0
1734,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1390.0,2.0,60.0
1735,Super built-up  Area,Ready To Move,Dodda Nekkundi,3,1804.0,3.0,121.0
1736,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1080.0,2.0,50.0
1737,Super built-up  Area,Ready To Move,Dodda Nekkundi,3,1999.0,3.0,132.0
1738,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1100.0,2.0,48.0
1739,Super built-up  Area,Ready To Move,Dodda Nekkundi,3,1999.0,3.0,135.0
1740,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1100.0,2.0,41.15
1741,Super built-up  Area,Ready To Move,Dodda Nekkundi,3,1252.0,2.0,71.0
1742,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1155.0,2.0,46.0
1743,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1128.0,2.0,45.0
1744,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1148.0,2.0,56.0
1746,Built-up  Area,Ready To Move,Dodda Nekkundi,2,1145.0,2.0,46.5
1747,Super built-up  Area,Ready To Move,Dodda Nekkundi,3,1829.0,3.0,125.0
1748,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1100.0,2.0,41.16
1749,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1100.0,2.0,46.75
1750,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1315.0,2.0,50.0
1751,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1135.0,2.0,58.0
1752,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1100.0,2.0,41.18
1753,Built-up  Area,Ready To Move,Dodda Nekkundi,2,1370.0,2.0,60.0
1754,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1200.0,2.0,71.0
1755,Super built-up  Area,Ready To Move,Dodda Nekkundi,3,1585.0,2.0,79.0
1756,Built-up  Area,Ready To Move,Dodda Nekkundi,2,1005.0,2.0,45.0
1757,Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1264.0,2.0,52.0
1758,Super built-up  Area,Ready To Move,Doddaballapur,4,1690.0,3.0,80.0
1759,Plot  Area,Ready To Move,Doddaballapur,4,4200.0,4.0,325.0
1760,Plot  Area,Ready To Move,Doddaballapur,3,3876.0,3.0,300.0
1761,Plot  Area,Ready To Move,Doddaballapur,3,2776.0,4.0,195.0
1762,Plot  Area,Ready To Move,Doddaballapur,3,2440.0,3.0,142.0
1763,Plot  Area,Ready To Move,Doddaballapur,4,2400.0,3.0,200.0
1764,Super built-up  Area,At available date,Doddaballapur,1,654.0,1.0,49.0
1765,Plot  Area,Ready To Move,Doddaballapur,4,3206.0,5.0,270.0
1766,Super built-up  Area,Ready To Move,Doddakallasandra,2,1010.0,2.0,40.39
1771,Super built-up  Area,Ready To Move,Doddakallasandra,2,1010.0,2.0,40.39
1772,Super built-up  Area,Ready To Move,Doddakallasandra,2,1072.0,2.0,42.87
1773,Super built-up  Area,Ready To Move,Doddakallasandra,2,1010.0,2.0,40.4
1774,Super built-up  Area,Ready To Move,Doddakallasandra,2,1010.0,2.0,41.0
1775,Super built-up  Area,Ready To Move,Doddakallasandra,2,1072.0,2.0,42.87
1776,Super built-up  Area,Ready To Move,Doddathoguru,2,970.0,2.0,33.0
1777,Built-up  Area,Ready To Move,Doddathoguru,2,1050.0,2.0,32.0
1778,Super built-up  Area,Ready To Move,Doddathoguru,2,850.0,2.0,25.0
1779,Super built-up  Area,Ready To Move,Doddathoguru,2,1030.0,2.0,42.0
1780,Super built-up  Area,Ready To Move,Doddathoguru,3,1549.0,3.0,65.0
1782,Super built-up  Area,Ready To Move,Doddathoguru,1,550.0,1.0,17.0
1783,Super built-up  Area,Ready To Move,Doddathoguru,2,1015.0,2.0,33.5
1784,Super built-up  Area,Ready To Move,Doddathoguru,2,1104.0,2.0,39.0
1785,Super built-up  Area,Ready To Move,Doddathoguru,2,915.0,2.0,32.0
1786,Super built-up  Area,Ready To Move,Doddathoguru,1,750.0,1.0,25.5
1787,Super built-up  Area,Ready To Move,Doddathoguru,3,1595.0,3.0,62.0
1788,Super built-up  Area,Ready To Move,Doddathoguru,2,855.0,2.0,32.0
1789,Super built-up  Area,Ready To Move,Doddathoguru,2,1105.0,2.0,50.0
1790,Built-up  Area,Ready To Move,Doddathoguru,2,925.0,2.0,30.0
1792,Built-up  Area,Ready To Move,Doddathoguru,3,1208.0,3.0,45.0
1793,Built-up  Area,Ready To Move,Doddathoguru,2,1100.0,2.0,50.0
1794,Super built-up  Area,Ready To Move,Doddathoguru,2,940.0,2.0,32.9
1795,Super built-up  Area,Ready To Move,Doddathoguru,3,1382.0,3.0,65.0
1796,Built-up  Area,Ready To Move,Doddathoguru,2,1107.0,2.0,44.0
1797,Built-up  Area,Ready To Move,Doddathoguru,2,907.0,2.0,40.0
1798,Super built-up  Area,Ready To Move,Doddathoguru,3,1783.0,3.0,85.0
1799,Super built-up  Area,Ready To Move,Doddathoguru,1,550.0,1.0,17.0
1800,Plot  Area,At available date,Dodsworth Layout,4,30000.0,4.0,2100.0
1801,Super built-up  Area,Ready To Move,Dodsworth Layout,2,1400.0,2.0,80.0
1802,Super built-up  Area,Ready To Move,Dodsworth Layout,3,1717.0,3.0,99.0
1803,Super built-up  Area,At available date,Dodsworth Layout,3,1594.0,3.0,99.0
1804,Super built-up  Area,Ready To Move,Dodsworth Layout,3,1893.0,3.0,115.0
1805,Super built-up  Area,Ready To Move,Dodsworth Layout,2,1400.0,2.0,85.0
1806,Plot  Area,Ready To Move,Dodsworth Layout,6,30400.0,4.0,1824.0
1807,Super built-up  Area,Ready To Move,Domlur,3,1540.0,3.0,90.0
1808,Super built-up  Area,Ready To Move,Domlur,3,1875.0,2.0,150.0
1809,Super built-up  Area,Ready To Move,Domlur,3,1429.0,3.0,86.0
1810,Built-up  Area,Ready To Move,Domlur,1,640.0,1.0,55.0
1811,Super built-up  Area,Ready To Move,Domlur,2,1050.0,2.0,85.0
1812,Super built-up  Area,Ready To Move,Domlur,3,1800.0,3.0,150.0
1813,Super built-up  Area,Ready To Move,Domlur,3,1720.0,3.0,135.0
1814,Super built-up  Area,Ready To Move,Domlur,3,1950.0,3.0,165.0
1815,Built-up  Area,At available date,Domlur,3,2180.0,3.0,285.0
1816,Super built-up  Area,Ready To Move,Domlur,1,650.0,1.0,70.0
1817,Super built-up  Area,Ready To Move,Domlur,1,780.0,1.0,70.0
1818,Super built-up  Area,Ready To Move,Domlur,3,2180.0,3.0,285.0
1819,Super built-up  Area,Ready To Move,Domlur,3,1740.0,3.0,120.0
1820,Built-up  Area,Ready To Move,Domlur,3,1695.0,3.0,125.0
1821,Super built-up  Area,Ready To Move,Domlur,2,1246.0,2.0,95.0
1822,Super built-up  Area,Ready To Move,Domlur,3,2100.0,3.0,145.0
1823,Super built-up  Area,Ready To Move,Domlur,2,1276.0,2.0,80.0
1824,Super built-up  Area,Ready To Move,Domlur,3,1850.0,3.0,180.0
1825,Super built-up  Area,Ready To Move,Domlur,3,2955.0,3.0,235.0
1826,Built-up  Area,Ready To Move,Domlur,3,1650.0,3.0,180.0
1827,Super built-up  Area,At available date,Dommasandra,2,805.0,2.0,22.14
1829,Super built-up  Area,Ready To Move,Dommasandra,2,1153.0,2.0,43.5
1830,Plot  Area,At available date,Dommasandra,2,1500.0,2.0,40.0
1831,Super built-up  Area,At available date,Dommasandra,2,850.0,2.0,25.4
1832,Super built-up  Area,At available date,Dommasandra,2,674.0,1.0,19.9
1833,Super built-up  Area,Ready To Move,Dommasandra,2,999.0,2.0,32.9
1834,Super built-up  Area,Ready To Move,EPIP Zone,3,1499.0,5.0,102.0
1835,Super built-up  Area,Ready To Move,EPIP Zone,2,1285.0,2.0,82.0
1836,Super built-up  Area,At available date,EPIP Zone,3,2330.0,3.0,162.0
1837,Super built-up  Area,Ready To Move,EPIP Zone,2,1330.0,2.0,92.5
1838,Super built-up  Area,Ready To Move,EPIP Zone,2,1330.0,2.0,86.98
1839,Super built-up  Area,At available date,EPIP Zone,2,1330.0,2.0,93.36
1841,Super built-up  Area,Ready To Move,EPIP Zone,3,1500.0,3.0,102.0
1842,Built-up  Area,Ready To Move,EPIP Zone,2,1280.0,2.0,69.0
1843,Built-up  Area,Ready To Move,EPIP Zone,2,1125.0,2.0,65.0
1844,Super built-up  Area,Ready To Move,EPIP Zone,3,1734.0,3.0,125.0
1846,Super built-up  Area,Ready To Move,EPIP Zone,2,1343.0,2.0,86.0
1847,Super built-up  Area,At available date,EPIP Zone,3,2350.0,4.0,163.0
1848,Super built-up  Area,At available date,EPIP Zone,3,1860.0,3.0,130.0
1849,Super built-up  Area,Ready To Move,EPIP Zone,3,2210.0,3.0,165.0
1850,Super built-up  Area,Ready To Move,EPIP Zone,3,2710.0,3.0,177.0
1853,Super built-up  Area,Ready To Move,Electronic City,3,1025.0,2.0,47.0
1856,Super built-up  Area,Ready To Move,Electronic City,3,1500.0,2.0,64.5
1857,Built-up  Area,Ready To Move,Electronic City,2,1060.0,2.0,60.0
1858,Super built-up  Area,At available date,Electronic City,2,1152.0,2.0,64.5
1860,Built-up  Area,Ready To Move,Electronic City,2,770.0,1.0,36.0
1861,Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2.0,52.0
1862,Built-up  Area,Ready To Move,Electronic City,2,1025.0,2.0,46.0
1863,Super built-up  Area,Ready To Move,Electronic City,1,589.0,1.0,27.0
1865,Super built-up  Area,Ready To Move,Electronic City,2,910.0,2.0,40.0
1866,Super built-up  Area,At available date,Electronic City,2,1108.0,2.0,63.0
1867,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,65.0
1868,Super built-up  Area,Ready To Move,Electronic City,3,1800.0,3.0,95.0
1869,Built-up  Area,At available date,Electronic City,1,630.0,1.0,34.65
1870,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,63.0
1871,Super built-up  Area,At available date,Electronic City,3,1599.0,3.0,99.0
1874,Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2.0,55.0
1875,Super built-up  Area,Ready To Move,Electronic City,2,940.0,2.0,41.0
1877,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,68.75
1878,Super built-up  Area,At available date,Electronic City,2,1342.0,2.0,73.3
1879,Super built-up  Area,Ready To Move,Electronic City,3,1360.0,2.0,71.0
1881,Super built-up  Area,At available date,Electronic City,2,1265.0,2.0,56.93
1882,Super built-up  Area,At available date,Electronic City,3,1691.0,2.0,102.0
1883,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,65.49
1886,Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2.0,56.1
1887,Plot  Area,Ready To Move,Electronic City,4,2000.0,4.0,120.0
1888,Built-up  Area,Ready To Move,Electronic City,2,890.0,2.0,45.0
1889,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,65.65
1890,Built-up  Area,Ready To Move,Electronic City,2,865.0,2.0,42.0
1892,Super built-up  Area,Ready To Move,Electronic City,2,910.0,2.0,42.0
1894,Built-up  Area,Ready To Move,Electronic City,3,1360.0,2.0,75.0
1895,Super built-up  Area,Ready To Move,Electronic City,2,770.0,1.0,40.0
1896,Super built-up  Area,Ready To Move,Electronic City,2,1128.0,2.0,64.0
1897,Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2.0,54.0
1899,Super built-up  Area,At available date,Electronic City,3,1571.0,3.0,89.0
1900,Super built-up  Area,At available date,Electronic City,3,1111.0,3.0,50.0
1901,Super built-up  Area,Ready To Move,Electronic City,2,870.0,2.0,39.5
1903,Super built-up  Area,At available date,Electronic City,3,1374.0,2.0,72.0
1905,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,65.35
1906,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,65.0
1907,Super built-up  Area,Ready To Move,Electronic City,2,755.0,1.0,34.0
1911,Super built-up  Area,At available date,Electronic City,3,1563.0,3.0,91.84
1912,Super built-up  Area,Ready To Move,Electronic City,3,1652.0,3.0,70.0
1914,Super built-up  Area,At available date,Electronic City,2,1025.0,2.0,54.5
1916,Super built-up  Area,Ready To Move,Electronic City,3,1350.0,3.0,58.0
1919,Super built-up  Area,Ready To Move,Electronic City,3,1700.0,3.0,75.0
1921,Super built-up  Area,Ready To Move,Electronic City,2,1128.0,2.0,68.0
1922,Built-up  Area,Ready To Move,Electronic City,1,700.0,1.0,35.0
1923,Super built-up  Area,Ready To Move,Electronic City,3,1360.0,2.0,70.5
1925,Super built-up  Area,Ready To Move,Electronic City,3,1571.0,3.0,105.0
1929,Built-up  Area,At available date,Electronic City,3,1600.0,3.0,104.0
1931,Built-up  Area,Ready To Move,Electronic City,3,1500.0,2.0,100.0
1935,Super built-up  Area,At available date,Electronic City,2,1152.0,2.0,65.0
1936,Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2.0,60.0
1937,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,65.5
1938,Super built-up  Area,Ready To Move,Electronic City,2,1200.0,2.0,59.0
1939,Super built-up  Area,At available date,Electronic City,2,1152.0,2.0,65.75
1941,Super built-up  Area,At available date,Electronic City,2,1070.0,2.0,55.0
1942,Super built-up  Area,Ready To Move,Electronic City,2,1060.0,2.0,58.0
1943,Super built-up  Area,At available date,Electronic City,2,1025.0,2.0,54.1
1948,Super built-up  Area,Ready To Move,Electronic City,3,1500.0,2.0,78.0
1949,Super built-up  Area,At available date,Electronic City,2,1213.0,2.0,59.32
1950,Super built-up  Area,Ready To Move,Electronic City,3,1575.0,3.0,90.0
1951,Built-up  Area,Ready To Move,Electronic City,1,435.0,1.0,19.5
1952,Built-up  Area,Ready To Move,Electronic City,3,1449.0,3.0,100.0
1954,Super built-up  Area,Ready To Move,Electronic City,2,1125.0,2.0,58.0
1956,Super built-up  Area,Ready To Move,Electronic City,3,1575.0,3.0,101.0
1958,Built-up  Area,Ready To Move,Electronic City,1,550.0,1.0,12.0
1959,Super built-up  Area,Ready To Move,Electronic City,2,919.0,2.0,40.0
1960,Super built-up  Area,At available date,Electronic City,3,1500.0,2.0,78.25
1961,Super built-up  Area,Ready To Move,Electronic City,2,1363.0,2.0,79.0
1964,Super built-up  Area,Ready To Move,Electronic City,2,1108.0,2.0,67.15
1966,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,65.7
1968,Built-up  Area,Ready To Move,Electronic City,2,1060.0,2.0,51.0
1970,Built-up  Area,At available date,Electronic City,3,1650.0,3.0,100.0
1972,Super built-up  Area,Ready To Move,Electronic City,2,1025.0,2.0,49.0
1974,Super built-up  Area,Ready To Move,Electronic City,3,1449.0,3.0,90.0
1976,Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2.0,58.0
1977,Super built-up  Area,Ready To Move,Electronic City,2,1210.0,2.0,54.0
1978,Built-up  Area,At available date,Electronic City,3,1500.0,2.0,75.0
1980,Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2.0,52.0
1981,Super built-up  Area,At available date,Electronic City,4,2435.0,4.0,119.0
1986,Super built-up  Area,Ready To Move,Electronic City,2,1073.0,2.0,60.0
1987,Super built-up  Area,At available date,Electronic City,3,1500.0,2.0,78.0
1988,Super built-up  Area,At available date,Electronic City,2,1070.0,2.0,47.0
1989,Super built-up  Area,Ready To Move,Electronic City,2,1296.0,2.0,65.0
1990,Super built-up  Area,At available date,Electronic City,2,1140.0,2.0,70.93
1996,Super built-up  Area,At available date,Electronic City,4,2093.0,4.0,104.0
1997,Super built-up  Area,Ready To Move,Electronic City,2,1025.0,2.0,53.9
1998,Built-up  Area,Ready To Move,Electronic City,2,940.0,2.0,54.0
1999,Super built-up  Area,Ready To Move,Electronic City,1,435.0,1.0,21.0
2000,Super built-up  Area,At available date,Electronic City,3,1500.0,2.0,77.5
2001,Super built-up  Area,Ready To Move,Electronic City,3,1631.0,3.0,80.0
2002,Super built-up  Area,At available date,Electronic City,2,1355.0,2.0,67.0
2005,Super built-up  Area,Ready To Move,Electronic City,1,435.0,1.0,22.0
2007,Super built-up  Area,Ready To Move,Electronic City,2,1039.0,2.0,50.0
2008,Super built-up  Area,Ready To Move,Electronic City,2,770.0,1.0,39.9
2010,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,64.0
2011,Super built-up  Area,At available date,Electronic City,1,605.0,1.0,13.31
2013,Super built-up  Area,At available date,Electronic City,1,530.0,1.0,13.5
2014,Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2.0,53.0
2017,Super built-up  Area,At available date,Electronic City,3,1571.0,3.0,83.0
2019,Super built-up  Area,Ready To Move,Electronic City,3,1350.0,3.0,66.0
2020,Super built-up  Area,Ready To Move,Electronic City,3,1652.0,3.0,110.0
2024,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,65.58
2025,Built-up  Area,Ready To Move,Electronic City,1,635.0,1.0,28.0
2026,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,65.4
2029,Super built-up  Area,At available date,Electronic City,2,1355.0,2.0,72.9
2033,Built-up  Area,Ready To Move,Electronic City,2,770.0,1.0,35.0
2035,Super built-up  Area,Ready To Move,Electronic City,2,865.0,2.0,40.0
2038,Super built-up  Area,Ready To Move,Electronic City,2,1108.0,2.0,63.0
2039,Super built-up  Area,At available date,Electronic City,1,630.0,1.0,40.5
2042,Super built-up  Area,Ready To Move,Electronic City,1,605.0,1.0,22.0
2044,Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2.0,48.0
2046,Super built-up  Area,Ready To Move,Electronic City,3,1360.0,2.0,70.0
2047,Super built-up  Area,Ready To Move,Electronic City,1,635.0,1.0,28.0
2048,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,65.45
2049,Super built-up  Area,Ready To Move,Electronic City,2,890.0,2.0,40.0
2054,Super built-up  Area,Ready To Move,Electronic City,3,1360.0,2.0,58.0
2057,Super built-up  Area,At available date,Electronic City,1,630.0,1.0,33.7
2061,Built-up  Area,Ready To Move,Electronic City,3,1400.0,3.0,90.0
2062,Built-up  Area,Ready To Move,Electronic City,3,1287.0,3.0,55.0
2063,Super built-up  Area,Ready To Move,Electronic City,2,1258.0,2.0,85.5
2064,Built-up  Area,Ready To Move,Electronic City,2,1386.0,2.0,85.0
2065,Built-up  Area,Ready To Move,Electronic City,1,550.0,1.0,27.0
2066,Super built-up  Area,Ready To Move,Electronic City,2,1025.0,2.0,50.0
2068,Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2.0,55.0
2069,Super built-up  Area,At available date,Electronic City,2,1342.0,2.0,72.0
2070,Built-up  Area,Ready To Move,Electronic City,3,1275.0,3.0,70.0
2071,Super built-up  Area,Ready To Move,Electronic City,2,770.0,1.0,38.0
2076,Super built-up  Area,At available date,Electronic City,3,1644.0,3.0,92.59
2077,Built-up  Area,Ready To Move,Electronic City,2,1250.0,2.0,62.0
2080,Super built-up  Area,Ready To Move,Electronic City,1,418.0,1.0,12.0
2081,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,64.8
2084,Built-up  Area,Ready To Move,Electronic City,2,1060.0,2.0,55.0
2085,Super built-up  Area,At available date,Electronic City,1,710.0,1.0,40.42
2088,Super built-up  Area,Ready To Move,Electronic City,3,1275.0,3.0,63.43
2089,Super built-up  Area,Ready To Move,Electronic City,3,1518.0,3.0,75.0
2090,Built-up  Area,At available date,Electronic City,1,1090.0,2.0,31.48
2093,Super built-up  Area,Ready To Move,Electronic City,2,1060.0,2.0,55.0
2095,Super built-up  Area,Ready To Move,Electronic City,2,1353.0,2.0,75.0
2097,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,67.0
2098,Built-up  Area,At available date,Electronic City,2,1070.0,2.0,57.0
2099,Built-up  Area,Ready To Move,Electronic City,3,1700.0,3.0,90.0
2101,Super built-up  Area,Ready To Move,Electronic City,1,750.0,1.0,35.0
2102,Built-up  Area,Ready To Move,Electronic City,2,1210.0,2.0,55.0
2103,Built-up  Area,At available date,Electronic City,2,1070.0,2.0,60.0
2108,Super built-up  Area,At available date,Electronic City,3,1615.0,3.0,97.0
2110,Super built-up  Area,Ready To Move,Electronic City,2,1221.0,2.0,68.0
2112,Built-up  Area,Ready To Move,Electronic City,3,1500.0,3.0,73.0
2113,Super built-up  Area,Ready To Move,Electronic City,2,995.0,2.0,48.0
2114,Super built-up  Area,Ready To Move,Electronic City,2,1342.0,2.0,90.0
2116,Super built-up  Area,At available date,Electronic City,2,1128.0,2.0,63.5
2117,Super built-up  Area,Ready To Move,Electronic City,1,589.0,1.0,29.0
2120,Super built-up  Area,Ready To Move,Electronic City,3,1575.0,3.0,94.5
